id,kind,brand,name,aliases,genre,genreJa,format,focus,lensType,mount,year,weightG,weightMinG,weightMaxG,weightCondition,dataType,confidence,sourceId,packingProfile,packingDefaultG,packingMinG,packingMaxG
bronicabronica50100mmf456zenzanonpsaspherical,lens,Bronica,Bronica 50-100mm f/4-5.6 Zenzanon-PS Aspherical,Zenza Bronica | ブロニカ,Medium-format lens,中判レンズ,120,MF,lens,Bronica S/PS,,,460,610,同ジャンルの既知機種からの推定範囲,genre-estimate,D,open-model-catalog,lens-medium,315,255,385
bronicabronica500mmf8zenzanons,lens,Bronica,Bronica 500mm f/8 Zenzanon-S,Zenza Bronica | ブロニカ,Medium-format lens,中判レンズ,120,MF,lens,Bronica S/PS,,,460,610,同ジャンルの既知機種からの推定範囲,genre-estimate,D,open-model-catalog,lens-medium,315,255,385
bronicabronica50mmf28zenzanonmc,lens,Bronica,Bronica 50mm f/2.8 Zenzanon MC,Zenza Bronica | ブロニカ,Medium-format lens,中判レンズ,120,MF,lens,Bronica E/PE,,,460,610,同ジャンルの既知機種からの推定範囲,genre-estimate,D,open-model-catalog,lens-medium,315,255,385
bronicabronica50mmf35zenzanonps,lens,Bronica,Bronica 50mm f/3.5 Zenzanon PS,Zenza Bronica | ブロニカ,Medium-format lens,中判レンズ,120,MF,lens,Bronica S/PS,,,460,610,同ジャンルの既知機種からの推定範囲,genre-estimate,D,open-model-catalog,lens-medium,315,255,385
bronicabronica50mmf35zenzanons,lens,Bronica,Bronica 50mm f/3.5 Zenzanon-S,Zenza Bronica | ブロニカ,Medium-format lens,中判レンズ,120,MF,lens,Bronica S/PS,,,460,610,同ジャンルの既知機種からの推定範囲,genre-estimate,D,open-model-catalog,lens-medium,315,255,385
bronicabronica50mmf45zenzanonpg,lens,Bronica,Bronica 50mm f/4.5 Zenzanon PG,Zenza Bronica | ブロニカ,Medium-format lens,中判レンズ,120,MF,lens,Bronica GS-1,,,460,610,同ジャンルの既知機種からの推定範囲,genre-estimate,D,open-model-catalog,lens-medium,315,255,385
bronicabronica65mmf4zenzanonrf,lens,Bronica,Bronica 65mm f/4 Zenzanon-RF,Zenza Bronica | ブロニカ,Medium-format lens,中判レンズ,120,MF,lens,,,,460,610,同ジャンルの既知機種からの推定範囲,genre-estimate,D,open-model-catalog,lens-medium,315,255,385
bronicabronica65mmf40zenzanonpg,lens,Bronica,Bronica 65mm f/4.0 Zenzanon PG,Zenza Bronica | ブロニカ,Medium-format lens,中判レンズ,120,MF,lens,Bronica GS-1,,,460,610,同ジャンルの既知機種からの推定範囲,genre-estimate,D,open-model-catalog,lens-medium,315,255,385
bronicabronica65mmf40zenzanonps,lens,Bronica,Bronica 65mm f/4.0 Zenzanon PS,Zenza Bronica | ブロニカ,Medium-format lens,中判レンズ,120,MF,lens,Bronica S/PS,,,460,610,同ジャンルの既知機種からの推定範囲,genre-estimate,D,open-model-catalog,lens-medium,315,255,385
bronicabronica75mmf28zenzanonpe,lens,Bronica,Bronica 75mm f/2.8 Zenzanon PE,Zenza Bronica | ブロニカ,Medium-format lens,中判レンズ,120,MF,lens,Bronica E/PE,,,460,610,同ジャンルの既知機種からの推定範囲,genre-estimate,D,open-model-catalog,lens-medium,315,255,385
bronicabronica80mmf28zenzanonps,lens,Bronica,Bronica 80mm f/2.8 Zenzanon PS,Zenza Bronica | ブロニカ,Medium-format lens,中判レンズ,120,MF,lens,Bronica S/PS,,,460,610,同ジャンルの既知機種からの推定範囲,genre-estimate,D,open-model-catalog,lens-medium,315,255,385
bronicabronica80mmf28zenzanons,lens,Bronica,Bronica 80mm f/2.8 Zenzanon-S,Zenza Bronica | ブロニカ,Medium-format lens,中判レンズ,120,MF,lens,Bronica S/PS,,,460,610,同ジャンルの既知機種からの推定範囲,genre-estimate,D,open-model-catalog,lens-medium,315,255,385
bronicabronicaetrsi,camera,Bronica,Bronica ETRSi,ETRSi | Zenza Bronica | ブロニカ | Bronica ETR S | Bronica ETR,Medium-format SLR,中判一眼レフ,120,MF,interchangeable,Bronica,1989,1500,1500,1500,"standard kit with finder, back and 75mm lens",reference,B,compiled-specs,camera-large,460,380,560
bronicabronicags1,camera,Bronica,Bronica GS-1,GS1 | Zenza Bronica | ブロニカ,Medium-format SLR,中判一眼レフ,120,MF,interchangeable,Bronica,1983,1800,1800,1800,"standard kit with finder, back and 100mm lens",reference,B,compiled-specs,reinforced-xl,650,520,800
bronicabronicarf645,camera,Bronica,Bronica RF645,RF645 | Zenza Bronica | ブロニカ,Medium-format rangefinder,中判レンジファインダー,120,MF,interchangeable,Bronica,2000,1000,1000,1000,body without lens,reference,B,compiled-specs,camera-large,460,380,560
bronicabronicas2,camera,Bronica,Bronica S2,Zenza Bronica | ブロニカ,Medium-format SLR,中判一眼レフ,120,MF,interchangeable,"C,S2,EC",1966,,1210,1800,同ジャンルの既知機種からの推定範囲,genre-estimate,D,open-model-catalog,reinforced-xl,650,520,800
bronicabronicas2a,camera,Bronica,Bronica S2A,Zenza Bronica | ブロニカ,Medium-format SLR,中判一眼レフ,120,MF,interchangeable,"C,S2,EC",1969,,1210,1800,同ジャンルの既知機種からの推定範囲,genre-estimate,D,open-model-catalog,reinforced-xl,650,520,800
bronicabronicasqa,camera,Bronica,Bronica SQ-A,SQ-A | Zenza Bronica | ブロニカ | Bronica SQ-Ai | Bronica SQ-AM | Bronica SQ,Medium-format SLR,中判一眼レフ,120,MF,interchangeable,Bronica,1982,1500,1500,1500,"standard kit with finder, back and 80mm lens",reference,B,compiled-specs,camera-large,460,380,560
bronicabronicasqb,camera,Bronica,Bronica SQ-B,Zenza Bronica | ブロニカ,Medium-format SLR,中判一眼レフ,120,MF,interchangeable,Bronica S/PS,,,1210,1800,同ジャンルの既知機種からの推定範囲,genre-estimate,D,open-model-catalog,reinforced-xl,650,520,800
bronicazenzanonpe75mmf28,lens,Bronica,Zenzanon PE 75mm f/2.8,ETR 75mm | Zenza Bronica | ブロニカ,Medium-format lens,中判レンズ,120,MF,lens,Bronica,1980,460,460,460,"lens only, without caps",reference,B,compiled-specs,lens-medium,315,255,385
bronicazenzanonps80mmf28,lens,Bronica,Zenzanon PS 80mm f/2.8,SQ 80mm | Zenza Bronica | ブロニカ,Medium-format lens,中判レンズ,120,MF,lens,Bronica,1982,490,490,490,"lens only, without caps",reference,B,compiled-specs,lens-medium,315,255,385
canoncanon100mmf2rf,lens,Canon,Canon 100mm f/2 RF,キャノン | キヤノン,Rangefinder lens,レンジファインダーレンズ,35mm,MF,lens,Leica screw,,,100,550,同ジャンルの既知機種からの推定範囲,genre-estimate,D,open-model-catalog,lens-medium,315,255,385
canoncanon110ed20,camera,Canon,Canon 110ED 20,キャノン | キヤノン,Vintage film camera,その他・クラシックカメラ,110,MF,fixed,Fixed lens,1977,,350,1000,同ジャンルの既知機種からの推定範囲,genre-estimate,D,open-model-catalog,camera-large,460,380,560
canoncanon50mmf095,lens,Canon,Canon 50mm f/0.95,キャノン | キヤノン,35mm manual-focus lens,35mm MFレンズ,35mm,MF,lens,,,,165,250,同ジャンルの既知機種からの推定範囲,genre-estimate,D,open-model-catalog,lens-small,210,165,260
canoncanon7,camera,Canon,Canon 7,Canon Seven | キャノン | キヤノン | Canon 7S,35mm interchangeable rangefinder,35mmレンジファインダー（レンズ交換式）,35mm,MF,interchangeable,Canon LTM,1961,620,620,620,body only,reference,B,compiled-specs,compact-heavy,320,260,390
canoncanona1,camera,Canon,Canon A-1,A1 | キャノン | キヤノン,35mm MF SLR,35mm一眼レフ（MF）,35mm,MF,interchangeable,Canon FD,1978,620,620,620,body only,reference,B,compiled-specs,camera-body,350,290,425
canoncanona35datelux,camera,Canon,Canon A35 Datelux,A35 Datelux | A35Datelux | キヤノン | キャノン,35mm fixed-lens rangefinder,35mmレンジファインダー（固定レンズ）,35mm,MF,fixed,Fixed lens,,,340,700,同系統の既知機種からの推定範囲。出品前に実測推奨,genre-estimate,D,expanded-compact-rangefinder-2026,compact-heavy,320,260,390
canoncanona35f,camera,Canon,Canon A35F,A35F | キヤノン | キャノン,35mm fixed-lens rangefinder,35mmレンジファインダー（固定レンズ）,35mm,MF,fixed,Fixed lens,,,340,700,同系統の既知機種からの推定範囲。出品前に実測推奨,genre-estimate,D,expanded-compact-rangefinder-2026,compact-heavy,320,260,390
canoncanonae1,camera,Canon,Canon AE-1,AE1 | キャノン | キヤノン | Canon AE-1P,35mm MF SLR,35mm一眼レフ（MF）,35mm,MF,interchangeable,Canon FD,1976,590,590,590,body only,reference,B,compiled-specs,camera-body,350,290,425
canoncanonae1program,camera,Canon,Canon AE-1 Program,AE1 Program | キャノン | キヤノン,35mm MF SLR,35mm一眼レフ（MF）,35mm,MF,interchangeable,Canon FD,1981,565,565,565,body only,reference,B,compiled-specs,camera-body,350,290,425
canoncanonaf35m,camera,Canon,Canon AF35M,Autoboy | Sure Shot | キャノン | キヤノン,35mm AF compact,35mm AFコンパクト,35mm,AF,fixed,Fixed lens,1979,405,405,405,without batteries,reference,B,compiled-specs,compact-standard,270,220,325
canoncanonaf35mii,camera,Canon,Canon AF35M II,AF35M II | AF35MII | キヤノン | キャノン,35mm AF compact,35mm AFコンパクト,35mm,AF,fixed,Fixed lens,,,160,430,同系統の既知機種からの推定範囲。出品前に実測推奨,genre-estimate,D,expanded-compact-rangefinder-2026,compact-standard,270,220,325
canoncanonaf35ml,camera,Canon,Canon AF35ML,Super Sure Shot | キャノン | キヤノン,35mm AF compact,35mm AFコンパクト,35mm,AF,fixed,Fixed lens,1981,440,440,440,without batteries,reference,B,compiled-specs,compact-standard,270,220,325
canoncanonal1,camera,Canon,Canon AL-1,AL1 | キャノン | キヤノン,35mm MF SLR,35mm一眼レフ（MF）,35mm,MF,interchangeable,Canon FD,1982,490,490,490,body only,reference,B,compiled-specs,camera-body,350,290,425
canoncanonas6,camera,Canon,Canon AS-6,キャノン | キヤノン,Vintage film camera,その他・クラシックカメラ,35mm,MF,interchangeable,,1986,,350,1000,同ジャンルの既知機種からの推定範囲,genre-estimate,D,open-model-catalog,camera-large,460,380,560
canoncanonat1,camera,Canon,Canon AT-1,AT1 | キャノン | キヤノン,35mm MF SLR,35mm一眼レフ（MF）,35mm,MF,interchangeable,Canon FD,1976,590,590,590,body only,reference,B,compiled-specs,camera-body,350,290,425
canoncanonautoboy2,camera,Canon,Canon Autoboy 2,AF35M II | Sure Shot 2 | キャノン | キヤノン,35mm AF compact,35mm AFコンパクト,35mm,AF,fixed,Fixed lens,1983,300,300,300,without batteries,reference,B,compiled-specs,compact-standard,270,220,325
canoncanonautoboy2quartzdate,camera,Canon,Canon Autoboy 2 Quartz Date,Autoboy 2 Quartz Date | Autoboy2QuartzDate | キヤノン | キャノン,35mm AF compact,35mm AFコンパクト,35mm,AF,fixed,Fixed lens,,,160,430,同系統の既知機種からの推定範囲。出品前に実測推奨,genre-estimate,D,expanded-compact-rangefinder-2026,compact-standard,270,220,325
canoncanonautoboy3,camera,Canon,Canon Autoboy 3,Sure Shot Supreme | キャノン | キヤノン,35mm AF compact,35mm AFコンパクト,35mm,AF,fixed,Fixed lens,1986,315,315,315,without batteries,reference,B,compiled-specs,compact-standard,270,220,325
canoncanonautoboybf80,camera,Canon,Canon Autoboy BF80,Autoboy BF80 | AutoboyBF80 | キヤノン | キャノン,35mm AF compact,35mm AFコンパクト,35mm,AF,fixed,Fixed lens,,,160,430,同系統の既知機種からの推定範囲。出品前に実測推奨,genre-estimate,D,expanded-compact-rangefinder-2026,compact-standard,270,220,325
canoncanonautoboyd5,camera,Canon,Canon Autoboy D5,Autoboy D5 | AutoboyD5 | キヤノン | キャノン,35mm AF compact,35mm AFコンパクト,35mm,AF,fixed,Fixed lens,,,160,430,同系統の既知機種からの推定範囲。出品前に実測推奨,genre-estimate,D,expanded-compact-rangefinder-2026,compact-standard,270,220,325
canoncanonautoboyf,camera,Canon,Canon Autoboy F,Autoboy F | AutoboyF | キヤノン | キャノン,35mm AF compact,35mm AFコンパクト,35mm,AF,fixed,Fixed lens,,,160,430,同系統の既知機種からの推定範囲。出品前に実測推奨,genre-estimate,D,expanded-compact-rangefinder-2026,compact-standard,270,220,325
canoncanonautoboyfxl,camera,Canon,Canon Autoboy F XL,Autoboy F XL | AutoboyFXL | キヤノン | キャノン,35mm AF compact,35mm AFコンパクト,35mm,AF,fixed,Fixed lens,,,160,430,同系統の既知機種からの推定範囲。出品前に実測推奨,genre-estimate,D,expanded-compact-rangefinder-2026,compact-standard,270,220,325
canoncanonautoboyjet135,camera,Canon,Canon Autoboy Jet 135,Autoboy Jet 135 | AutoboyJet135 | キヤノン | キャノン,35mm zoom compact,35mmズームコンパクト,35mm,AF,fixed,Fixed lens,,,180,480,同系統の既知機種からの推定範囲。出品前に実測推奨,genre-estimate,D,expanded-compact-rangefinder-2026,compact-standard,270,220,325
canoncanonautoboyjuno,camera,Canon,Canon Autoboy Juno,Autoboy Juno | AutoboyJuno | キヤノン | キャノン,35mm zoom compact,35mmズームコンパクト,35mm,AF,fixed,Fixed lens,,,180,480,同系統の既知機種からの推定範囲。出品前に実測推奨,genre-estimate,D,expanded-compact-rangefinder-2026,compact-standard,270,220,325
canoncanonautoboyluna,camera,Canon,Canon Autoboy Luna,Autoboy Luna | AutoboyLuna | キヤノン | キャノン,35mm AF compact,35mm AFコンパクト,35mm,AF,fixed,Fixed lens,,,160,430,同系統の既知機種からの推定範囲。出品前に実測推奨,genre-estimate,D,expanded-compact-rangefinder-2026,compact-standard,270,220,325
canoncanonautoboylunaxl,camera,Canon,Canon Autoboy Luna XL,Autoboy Luna XL | AutoboyLunaXL | キヤノン | キャノン,35mm AF compact,35mm AFコンパクト,35mm,AF,fixed,Fixed lens,,,160,430,同系統の既知機種からの推定範囲。出品前に実測推奨,genre-estimate,D,expanded-compact-rangefinder-2026,compact-standard,270,220,325
canoncanonautoboyminit,camera,Canon,Canon Autoboy Mini T,Autoboy Mini T | AutoboyMiniT | キヤノン | キャノン,35mm AF compact,35mm AFコンパクト,35mm,AF,fixed,Fixed lens,,,160,430,同系統の既知機種からの推定範囲。出品前に実測推奨,genre-estimate,D,expanded-compact-rangefinder-2026,compact-standard,270,220,325
canoncanonautoboyn130ii,camera,Canon,Canon Autoboy N130 II,Autoboy N130 II | AutoboyN130II | キヤノン | キャノン,35mm zoom compact,35mmズームコンパクト,35mm,AF,fixed,Fixed lens,,,180,480,同系統の既知機種からの推定範囲。出品前に実測推奨,genre-estimate,D,expanded-compact-rangefinder-2026,compact-standard,270,220,325
canoncanonautoboyn150,camera,Canon,Canon Autoboy N150,Autoboy N150 | AutoboyN150 | キヤノン | キャノン,35mm zoom compact,35mmズームコンパクト,35mm,AF,fixed,Fixed lens,,,180,480,同系統の既知機種からの推定範囲。出品前に実測推奨,genre-estimate,D,expanded-compact-rangefinder-2026,compact-standard,270,220,325
canoncanonautoboyprisma,camera,Canon,Canon Autoboy Prisma,Autoboy Prisma | AutoboyPrisma | キヤノン | キャノン,35mm AF compact,35mm AFコンパクト,35mm,AF,fixed,Fixed lens,,,160,430,同系統の既知機種からの推定範囲。出品前に実測推奨,genre-estimate,D,expanded-compact-rangefinder-2026,compact-standard,270,220,325
canoncanonautoboys,camera,Canon,Canon Autoboy S,Autoboy S | AutoboyS | キヤノン | キャノン,35mm AF compact,35mm AFコンパクト,35mm,AF,fixed,Fixed lens,,,160,430,同系統の既知機種からの推定範囲。出品前に実測推奨,genre-estimate,D,expanded-compact-rangefinder-2026,compact-standard,270,220,325
canoncanonautoboysii,camera,Canon,Canon Autoboy S II,Autoboy S II | AutoboySII | キヤノン | キャノン,35mm AF compact,35mm AFコンパクト,35mm,AF,fixed,Fixed lens,,,160,430,同系統の既知機種からの推定範囲。出品前に実測推奨,genre-estimate,D,expanded-compact-rangefinder-2026,compact-standard,270,220,325
canoncanonautoboywt28,camera,Canon,Canon Autoboy WT28,Autoboy WT28 | AutoboyWT28 | キヤノン | キャノン,35mm zoom compact,35mmズームコンパクト,35mm,AF,fixed,Fixed lens,,,180,480,同系統の既知機種からの推定範囲。出品前に実測推奨,genre-estimate,D,expanded-compact-rangefinder-2026,compact-standard,270,220,325
canoncanonav1,camera,Canon,Canon AV-1,AV1 | キャノン | キヤノン,35mm MF SLR,35mm一眼レフ（MF）,35mm,MF,interchangeable,Canon FD,1979,490,490,490,body only,reference,B,compiled-specs,camera-body,350,290,425
canoncanoncanomaticm70,camera,Canon,Canon Canomatic M70,キャノン | キヤノン,35mm compact MF,35mm MFコンパクト,126,MF,fixed,Fixed lens,1970,,335,390,同ジャンルの既知機種からの推定範囲,genre-estimate,D,open-model-catalog,compact-standard,270,220,325
canoncanoncanonef35mmf2isusm,lens,Canon,Canon Canon EF 35mm f/2 IS USM,キャノン | キヤノン,35mm autofocus lens,35mm AFレンズ,35mm,AF,lens,Canon EF,2012,,155,290,同ジャンルの既知機種からの推定範囲,genre-estimate,D,open-model-catalog,lens-medium,315,255,385
canoncanondemis,camera,Canon,Canon Demi S,Demi S | キャノン | キヤノン,35mm compact MF,35mm MFコンパクト,35mm half-frame,MF,fixed,Fixed lens,1964,380,380,380,with fixed lens,reference,C,published-secondary,compact-standard,270,220,325
canoncanondial35,camera,Canon,Canon Dial 35,Dial 35 | キャノン | キヤノン,35mm compact MF,35mm MFコンパクト,35mm half-frame,MF,fixed,Fixed lens,1963,410,410,410,with fixed lens,reference,C,published-secondary,compact-standard,270,220,325
canoncanonef100300mmf4556usm,lens,Canon,Canon EF 100-300mm f/4.5-5.6 USM,キャノン | キヤノン,35mm autofocus zoom lens,35mm AFズームレンズ,35mm,AF,lens,Canon EF,1990,,200,705,同ジャンルの既知機種からの推定範囲,genre-estimate,D,open-model-catalog,lens-large,430,350,530
canoncanonef100300mmf56macro,lens,Canon,Canon EF 100-300mm f/5.6 Macro,キャノン | キヤノン,35mm autofocus zoom lens,35mm AFズームレンズ,35mm,AF,lens,Canon EF,1987,,200,705,同ジャンルの既知機種からの推定範囲,genre-estimate,D,open-model-catalog,lens-large,430,350,530
canoncanonef100400mmf4556lisiiusm,lens,Canon,Canon EF 100-400mm f/4.5-5.6L IS II USM,キャノン | キヤノン,35mm autofocus zoom lens,35mm AFズームレンズ,35mm,AF,lens,Canon EF,2014,,200,705,同ジャンルの既知機種からの推定範囲,genre-estimate,D,open-model-catalog,lens-large,430,350,530
canoncanonef100400mmf4556lisusm,lens,Canon,Canon EF 100-400mm f/4.5-5.6L IS USM,キャノン | キヤノン,35mm autofocus zoom lens,35mm AFズームレンズ,35mm,AF,lens,Canon EF,1998,,200,705,同ジャンルの既知機種からの推定範囲,genre-estimate,D,open-model-catalog,lens-large,430,350,530
canoncanonef100mmf2usm,lens,Canon,Canon EF 100mm f/2 USM,キャノン | キヤノン,35mm autofocus lens,35mm AFレンズ,35mm,AF,lens,Canon EF,1991,,155,290,同ジャンルの既知機種からの推定範囲,genre-estimate,D,open-model-catalog,lens-medium,315,255,385
canoncanonef100mmf28macro,lens,Canon,Canon EF 100mm f/2.8 Macro,キャノン | キヤノン,35mm autofocus lens,35mm AFレンズ,35mm,AF,lens,Canon EF,1990,,155,290,同ジャンルの既知機種からの推定範囲,genre-estimate,D,open-model-catalog,lens-medium,315,255,385
canoncanonef100mmf28macrousm,lens,Canon,Canon EF 100mm f/2.8 Macro USM,キャノン | キヤノン,35mm autofocus lens,35mm AFレンズ,35mm,AF,lens,Canon EF,2000,,155,290,同ジャンルの既知機種からの推定範囲,genre-estimate,D,open-model-catalog,lens-medium,315,255,385
canoncanonef100mmf28lmacroisusm,lens,Canon,Canon EF 100mm f/2.8L Macro IS USM,キャノン | キヤノン,35mm autofocus lens,35mm AFレンズ,35mm,AF,lens,Canon EF,2009,,155,290,同ジャンルの既知機種からの推定範囲,genre-estimate,D,open-model-catalog,lens-medium,315,255,385
canoncanonef1200mmf56lusm,lens,Canon,Canon EF 1200mm f/5.6L USM,キャノン | キヤノン,35mm autofocus lens,35mm AFレンズ,35mm,AF,lens,Canon EF,1993,,155,290,同ジャンルの既知機種からの推定範囲,genre-estimate,D,open-model-catalog,lens-medium,315,255,385
canoncanonef135mmf28softfocus,lens,Canon,Canon EF 135mm f/2.8 Soft Focus,キャノン | キヤノン,35mm autofocus lens,35mm AFレンズ,35mm,AF,lens,Canon EF,1987,,155,290,同ジャンルの既知機種からの推定範囲,genre-estimate,D,open-model-catalog,lens-medium,315,255,385
canoncanonef135mmf2lusm,lens,Canon,Canon EF 135mm f/2L USM,キャノン | キヤノン,35mm autofocus lens,35mm AFレンズ,35mm,AF,lens,Canon EF,1996,,155,290,同ジャンルの既知機種からの推定範囲,genre-estimate,D,open-model-catalog,lens-medium,315,255,385
canoncanonef14mmf28liiusm,lens,Canon,Canon EF 14 mm F2.8 L II USM,キャノン | キヤノン,35mm autofocus lens,35mm AFレンズ,35mm,AF,lens,,2007,,155,290,同ジャンルの既知機種からの推定範囲,genre-estimate,D,open-model-catalog,lens-medium,315,255,385
canoncanonef14mmf28lusm,lens,Canon,Canon EF 14mm f/2.8L USM,キャノン | キヤノン,35mm autofocus lens,35mm AFレンズ,35mm,AF,lens,Canon EF,1991,,155,290,同ジャンルの既知機種からの推定範囲,genre-estimate,D,open-model-catalog,lens-medium,315,255,385
canoncanonef15mmf28,lens,Canon,Canon EF 15mm f/2.8,キャノン | キヤノン,35mm autofocus lens,35mm AFレンズ,35mm,AF,lens,Canon EF,1987,,155,290,同ジャンルの既知機種からの推定範囲,genre-estimate,D,open-model-catalog,lens-medium,315,255,385
canoncanonef1635mmf28lusm,lens,Canon,Canon EF 16-35mm f/2.8L USM,キャノン | キヤノン,35mm autofocus zoom lens,35mm AFズームレンズ,35mm,AF,lens,Canon EF,2001,,200,705,同ジャンルの既知機種からの推定範囲,genre-estimate,D,open-model-catalog,lens-large,430,350,530
canoncanonef1635mmf28lusmii,lens,Canon,Canon EF 16-35mm f/2.8L USM II,キャノン | キヤノン,35mm autofocus zoom lens,35mm AFズームレンズ,35mm,AF,lens,Canon EF,2007,,200,705,同ジャンルの既知機種からの推定範囲,genre-estimate,D,open-model-catalog,lens-large,430,350,530
